predictors_amp_n_ 1,predictors_amp_n_ 2,predictors_amp_n_ 3,predictors_amp_n_ 4,predictors_amp_n_ 5,predictors_amp_n_ 6,predictors_amp_n_ 7,predictors_amp_n_ 8,predictors_amp_n_ 9,predictors_amp_n_10,predictors_amp_n_11,predictors_amp_n_12,predictors_amp_n_13,predictors_amp_n_14,predictors_amp_n_15,predictors_amp_n_16,predictors_amp_n_17,predictors_amp_n_18,predictors_amp_n_19,predictors_amp_n_20,Var2
61,0,1.67E-05,4.1273,0.62388,0.0028,0.0086389,0.37905,0.11178,6.2229,0.046524,0.0018775,0.26447,0.073252,0.0023074,1.7716,0,0,4.2186,2,192.97
62,0,8.13E-06,8.6793,0.23087,0.00086283,0.0036625,0.38586,0.094772,2.1113,0.04486,0.00043334,0.60192,0.035478,0.0021731,2.6876,0,0,7.2784,2,152.93
63,0,0.02167,2.6336,0.89059,4.2134,5.4489,6.3798,0.19784,3.4022,0.076909,0.024188,0.62736,5.1426,6.1262,3.1031,0,0,44.203,2,39.482
64,0,9.43E-06,43.997,0.85046,0.19926,0.22178,0.53511,52.885,6.3845,1.0406,0.084272,2.1504,14.308,0.012118,79.676,0,0,67.98,2,20.151
1,0,19.496,11.064,0.0069574,0.00032481,99.826,3.5934,0.65887,0.86238,9.486,0.040825,0.051064,0.1109,0.0019228,0.011188,0,0,0.084194,3,0
2,0,98.397,99.973,0.094519,66.895,99.649,2.7685,1.6061,57.083,54.994,0.018473,58.866,2.8303,94.025,34.518,0,0,15.81,3,175.49
3,0,97.219,14.681,0.0043027,0.00078874,99.692,2.2527,0.76921,0.31021,41.94,0.037777,0.023887,0.13343,0.0011024,0.0013564,0,0,0.077596,3,5.2932
4,0,82.517,96.942,0.012505,0.0004783,93.384,9.6181,0.74388,0.13417,10.863,0.013441,0.0097425,0.33953,0.0030233,0.001188,0,0,0.065865,3,60.162
5,0,97.029,61.696,28.549,45.638,18.836,23.618,1.9408,1.7446,86.182,1.2279,52.29,6.4203,62.405,99.997,0,0,99.916,3,183.19
6,0,96.293,23.567,0.031752,0.00055746,97.648,1.9597,0.7183,0.58965,27.15,0.03502,0.083418,0.047422,0.0021102,0.0025634,0,0,0.072264,3,26.269
7,0,98.58,65.308,0.21637,0.028409,98.05,33.157,0.65927,0.27073,57.098,0.033679,28.386,10.833,2.8605,0.12715,0,0,0.11838,3,136.33
8,0,90.545,17.165,0.010493,0.00039585,96.155,16.384,0.21973,0.08461,7.7142,0.021323,0.017075,0.13873,0.0018623,0.0018117,0,0,0.047585,3,30.556
9,0,97.534,55.617,7.1707,0.0019731,99.903,39.742,0.16301,0.1891,92.089,0.027385,0.022405,27.776,0.071018,0.004749,0,0,0.064353,3,10.206
10,0,34.392,98.376,0.060159,0.082293,46.37,21.818,91.385,22.594,8.6893,0.36033,6.4283,0.77776,0.067749,98.803,0,0,93.275,3,180.69
11,0,83.97,81.423,2.6081,0.00055656,99.342,32.774,0.3869,0.21185,15.776,0.18591,0.029076,0.11509,0.00084954,0.00071165,0,0,0.075453,3,27.06
12,0,95.675,63.434,0.34789,0.0010304,95.924,41.318,0.32792,0.095252,17.334,0.0046462,0.013736,0.085155,0.0011154,0.00096687,0,0,0.066066,3,30.055
13,0,57.856,0.058007,0.49132,0.0013985,96.446,0.00080956,0.0015055,1.6924,83.372,0.00055084,0.0097275,0.056155,0.011006,0.0054549,0,0,0.13951,3,23.991
14,0,99.428,98.976,0.21448,0.004136,99.723,3.1948,2.9895,0.82738,25.157,0.043264,0.11388,7.8466,0.0048965,0.0083434,0,0,0.09685,3,181.76
